chunk_id,chunk_text
chunk_1,"English Travel Reimbursement Law Revised Version of the State Travel Expense Act 
Preliminary Page A. Objective The previous travel expense regulations are outdated and require 
updating and legal simplification to facilitate the conduct and administrative processing of official 
travel. In addition, with regard to mobility behavior, the requirements of climate protection shall 
be taken into account (the exemplary function of the state administration pursuant to §  of the 
Baden-Württemberg Climate Protection Act)."

chunk_2,"Revised Version of the State Travel Expense Act 
Preliminary Page B. Essential Content A revision of the State Travel Expense Act resulting in a 
modern regulatory framework. The focal points are: . A new regulation for travel costs and 
mileage allowance. . . . . Adjustment of the reduction of the per diem allowance in the case of 
complimentary meals in line with tax law provisions, thereby eliminating the need to tax parts of 
the per diem. The provisions for foreign trips are integrated into the Act and the general 
administrative regulations; the previous State Foreign Travel Expense Regulation thereby 
becomes unnecessary and may lapse. Expenses incurred during an extended stay at the 
business location, separation allowance. Statutory anchoring of a climate compensation 
payment for official flights. G. Elimination of rarely occurring special regulations."

chunk_3,"Revised 
Version of the State Travel Expense Act Preliminary Page C. Alternatives None"

chunk_4,"Revised 
Version of the State Travel Expense Act Preliminary Page  D. Costs for Public Budgets 
Additional costs estimated at , euros result from the climate compensation payment for officially 
required flights."

chunk_5,"Revised Version of the State Travel Expense Act Preliminary Page E. Costs for 
Private Individuals None"

chunk_6,"State Travel Expense Act (LRKG) §  Scope () This Act regulates the 
reimbursement of expenses for official trips and official errands as well as for trips for the 
purpose of education or training (travel expense reimbursement) for state officials, judges in 
state service, and officials of municipalities, counties, and other bodies, institutions, and 
foundations under state supervision, as well as other officials and judges seconded to these 
employers. In addition, this Act regulates the reimbursement of expenses incurred on the 
occasion of a secondment (separation allowance)."

chunk_7,"State Travel Expense Act (LRKG) §  Scope 
() The travel expense reimbursement includes: . . . . . Reimbursement of travel and flight costs 
(§ ), Mileage allowance (§ ), Per diem allowance for official trips (§ G), Necessary additional 
expenses on official errands (§ G), Accommodation allowance (§ ), G. Reimbursement of 
expenses incurred during an extended stay at the business location (§ ), . Expense and lump 
sum reimbursement (§ U), and . Reimbursement of other costs (§ )."

chunk_8,"State Travel Expense Act 
(LRKG) §  Official Trips and Errands () Official trips in the sense of this Act are journeys 
undertaken to conduct official business outside the usual place of work, which have been 
ordered or approved by the responsible superior, unless an order or approval is not applicable 
due to the nature of the official’s office or the nature of the official business. The order or 
approval must be given in writing or electronically. Official trips also include journeys from a 
location serving as a temporary residence to the place of work, provided that the conditions of 
sentences  and  are otherwise met. Official trips should only be carried out if a less costly 
method of conducting the official business is not possible or reasonable."

chunk_9,"State Travel Expense 
Act (LRKG) §  Official Trips and Errands () Official errands are journeys undertaken to conduct 
official business at the place of work or residence outside the official premises, which have been 
ordered or approved by the responsible superior, unless an order or approval is not applicable 
due to the nature of the official’s office or the nature of the official business. The place of 
residence is deemed equivalent to a temporary residence."

chunk_10,"State Travel Expense Act (LRKG) 
§  Official Trips and Errands ) For official trips by a judge to carry out judicial duties or to 
participate in a meeting of the presidium or another comparable constitutional body of the court 
to which they belong, no order or approval is required. The same applies to official trips by the 
state commissioner for data protection to perform his or her duties under the State Data 
Protection Act and to official trips by the government commissioner for the concerns of people 
with disabilities to perform his or her duties under the State Equal Opportunities for People with 
Disabilities Act."

chunk_11,"State Travel Expense Act (LRKG) §  Entitlement to Travel Expense 
Reimbursement () Official travelers shall, upon application, receive reimbursement for the 
necessary additional expenses incurred due to official travel."

chunk_12,"State Travel Expense Act (LRKG) 
§  Entitlement to Travel Expense Reimbursement () The starting and ending points of an official 
trip are generally to be determined by the traveler in accordance with the principle of cost-
effectiveness. Deviating from this, the official superior may designate the official premises as the 
starting and/or ending point of the trip if the travel route runs immediately past the official 
premises. In the case of an official trip that is commenced and/or concluded at the traveler’s 
residence, the reimbursement of travel costs (§ ) or the mileage allowance (§ ) shall be based 
on the distance from or to the residence, unless the official premises have been designated as 
the starting and/or ending point. In the presence of several residences or accommodations, the 
one nearest to the official premises shall be decisive."

