Generation Model,Question Index,Question,Type,Source_QID,Original Chunk,Chunks Retrieved,Generated Answer,Reference Answer,Generation Prompt Used,Encoding Used,Enable Thinking,correctness,correctness_reason,completeness_reference,completeness_reference_reason,faithfulness,faithfulness_reason,completeness_question,completeness_question_reason,Judge Model,Judge Prompt
microsoft/Phi-3-mini-4k-instruct,1,What is an official trip?,Original,,chunk_8,chunk_8; chunk_9; chunk_43; chunk_10; chunk_61; chunk_44; chunk_47; chunk_12; chunk_39; chunk_55,"An official trip, as defined in the State Travel Expense Act (LRKG), is a journey undertaken to conduct official business outside the usual place of work, which has been ordered or approved by the responsible superior. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of sentences  and  are otherwise met. These trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.","Official trips in the sense of this Act are journeys undertaken to conduct official business outside the usual place of work, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of sentences 1 and 2 are otherwise met.",Basic_RAG_Prompt,mpnet,False,4,"The response accurately conveys the definition of an official trip as stated in the reference, with only minor differences in phrasing.",4,"The response includes all key information from the reference, except for the exception regarding when an order/approval isn't needed due to the nature of the office or business.",5,The response contains no information that contradicts the provided context; it is fully supported by the chunks.,5,The response directly and fully answers the question 'What is an official trip?' providing a comprehensive definition.,default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,2,Could you please define what constitutes an “official trip”?,Paraphrased,Paraphrased from Ques_1 in Manual QA doc,chunk_8,chunk_8; chunk_43; chunk_9; chunk_10; chunk_47; chunk_61; chunk_44; chunk_12; chunk_39; chunk_55,"An ""official trip"" is a journey undertaken to conduct official business outside the usual place of work, which has been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of sentences  and  are otherwise met. Official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.","Official trips in the sense of this Act are journeys undertaken to conduct official business outside the usual place of work, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of sentences 1 and 2 are otherwise met.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the definition of an 'official trip' as presented in the reference, with no changes in meaning.",5,"The response includes all key information from the reference text, covering the definition, approval process, and inclusion of journeys from temporary residences.",5,The response is entirely based on the provided context and does not introduce any new or contradictory information.,5,The response directly and fully answers the question by providing a clear definition of what constitutes an 'official trip'.,default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,3,Does the approval for official travel have to be submitted as a physical document?,Original,,chunk_8,chunk_8; chunk_9; chunk_10; chunk_43; chunk_61; chunk_42; chunk_52; chunk_44; chunk_11; chunk_49,"No, the approval for official travel does not have to be submitted as a physical document. According to the State Travel Expense Act (LRKG) § Official Trips and Errands, the order or approval must be given in writing or electronically.",The order or approval must be given in writing or electronically.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately reflects the meaning of the reference, stating the approval can be written or electronic.",5,The response includes all key information from the reference – the acceptable forms of approval (written or electronic).,5,The response is directly supported by the provided context and does not introduce any new or contradictory information.,5,"The response directly and fully answers the question, clarifying whether a physical document is required (it is not).",default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,4,Is a hard copy required for travel authorization?,Paraphrased,Paraphrased from Ques_2 in Manual QA doc,chunk_8,chunk_5; chunk_3; chunk_8; chunk_14; chunk_10; chunk_43; chunk_9; chunk_71; chunk_52; chunk_44,"No, a hard copy is not required for travel authorization. The context states that the order or approval for official trips must be given in writing or electronically.",The order or approval must be given in writing or electronically.,Basic_RAG_Prompt,mpnet,False,5,The response accurately reflects the meaning of the reference – that written or electronic approval is sufficient.,5,The response contains all the key information from the reference.,5,The response is directly supported by the provided context and does not introduce any new information.,5,The response directly and fully answers the question with a clear 'no' and supporting explanation.,default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,5,"If there is a less expensive method for me to do my job, my official trip can get cancelled?",Original,,Chunk_8,chunk_8; chunk_9; chunk_61; chunk_18; chunk_54; chunk_36; chunk_10; chunk_81; chunk_43; chunk_49,"Yes, according to the State Travel Expense Act (LRKG) § Official Trips and Errands, official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable. This means that if there is a less expensive method available, your official trip may be cancelled or reconsidered.",Official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately reflects the meaning of the reference, stating the condition for official trips.",5,The response includes all key information from the reference; it doesn't omit anything.,5,The response is directly supported by the provided context and doesn't introduce any new information.,5,"The response directly and fully answers the question, confirming the possibility of cancellation if a less expensive method exists.",default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,6,Could an approved work trip be rescinded if a cheaper way to complete the necessary tasks becomes available?,Paraphrased,Paraphrased from Ques_3 in Manual QA doc,Chunk_8,chunk_8; chunk_34; chunk_39; chunk_61; chunk_16; chunk_40; chunk_3; chunk_36; chunk_9; chunk_10,"Yes, according to the State Travel Expense Act (LRKG) §  Official Trips and Errands, before ordering or approving an official trip, it must be examined whether a less costly means of conducting the official business is indicated and possible, in order to manage public funds economically.",Official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.,Basic_RAG_Prompt,mpnet,False,5,The response accurately conveys the same meaning as the reference – prioritizing cost-effectiveness in official trips.,5,"The response includes all key information from the reference, stating the need to consider less costly methods.",5,The response is directly supported by the provided context and does not introduce any new information.,4,"The response directly addresses the question by explaining the consideration of cheaper alternatives, implying a trip could be re-evaluated. It doesn't explicitly state rescission, but strongly implies it.",default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,7,What is an official errand?,Original,,Chunk_9,chunk_9; chunk_8; chunk_10; chunk_61; chunk_43; chunk_44; chunk_26; chunk_33; chunk_42; chunk_15,"An official errand, as defined in the State Travel Expense Act (LRKG) §  Official Trips and Errands, is a journey undertaken to conduct official business at the place of work or residence outside the official premises, which have been ordered or approved by the responsible superior. This definition applies unless an order or approval is not applicable due to the nature of the official's office or the nature of the official business. The place of residence is considered equivalent to a temporary residence for the purpose of official errands.","Official errands are journeys undertaken to conduct official business at the place of work or residence outside the official premises, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The place of residence is deemed equivalent to a temporary residence.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, with only minor differences in phrasing.",5,The response includes all key information present in the reference.,5,The response is entirely based on the provided context and does not introduce any new or contradictory information.,5,The response directly and fully answers the question of what constitutes an official errand.,default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,8,"Could you explain what constitutes a legitimate, authorized task or duty?",Paraphrased,Paraphrased from Ques_4 in Manual QA doc,Chunk_9,chunk_9; chunk_61; chunk_8; chunk_82; chunk_59; chunk_84; chunk_56; chunk_68; chunk_72; chunk_77,"A legitimate, authorized task or duty, as per the context provided, refers to journeys undertaken to conduct official business at the place of work or residence outside the official premises. These journeys must be ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The context emphasizes the importance of examining whether a less costly means of conducting the official business is indicated and possible, in order to manage public funds economically. Additionally, the context mentions that official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.","Official errands are journeys undertaken to conduct official business at the place of work or residence outside the official premises, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The place of residence is deemed equivalent to a temporary residence.",Basic_RAG_Prompt,mpnet,False,4,"The response accurately conveys the meaning of the reference, though it's more verbose. It defines 'legitimate, authorized task or duty' similarly to the reference.",4,"The response includes all key information from the reference, and expands on it with related points about cost-effectiveness.",5,The response strictly reflects information present in the provided context; no information is added that isn't supported by it.,5,"The response directly and fully answers the question, providing a clear explanation of what constitutes a legitimate, authorized task or duty.",default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,9,"As a judge, do I need an order or approval for my official trip?",Original,,Chunk_10,chunk_10; chunk_8; chunk_9; chunk_43; chunk_39; chunk_49; chunk_61; chunk_12; chunk_6; chunk_16,"Yes, as a judge, you need an order or approval for your official trip according to the State Travel Expense Act (LRKG) § Official Trips and Errands. The act states that for official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court, no order or approval is required. However, it is generally required for official trips to be ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business.","For official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court to which they belong, no order or approval is required.",Basic_RAG_Prompt,mpnet,False,4,"The response accurately conveys the information in the reference, though it adds a general statement about needing approval which isn't directly in the reference.",3,The response covers the core exception outlined in the reference (trips for judicial duties or presidium meetings) but adds information not present in the reference about general approval requirements.,5,The response is entirely based on information present within the provided context chunks; no external information or contradictions are introduced.,5,"The response directly and fully answers the question, providing a nuanced answer that acknowledges exceptions to the general rule.",default,prompt_v2
microsoft/Phi-3-mini-4k-instruct,10,Are judges required to obtain permission before traveling for official duties?,Paraphrased,Paraphrased from Ques_5 in Manual QA doc,Chunk_10,chunk_10; chunk_8; chunk_9; chunk_49; chunk_43; chunk_6; chunk_50; chunk_12; chunk_36; chunk_46,"No, judges are not required to obtain permission before traveling for official duties according to the State Travel Expense Act (LRKG) § Official Trips and Errands. The context states that ""For official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court to which they belong, no order or approval is required.""","For official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court to which they belong, no order or approval is required.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately reflects the meaning of the reference, stating that judges do not need permission for official travel.",5,The response includes all key information from the reference – the lack of requirement for permission for official trips.,5,The response is directly supported by the provided context and does not introduce any new or contradictory information.,5,The response directly and fully answers the question of whether judges require permission for official travel.,default,prompt_v2
