Generation Model,Question Index,Question,Type,Source_QID,Original Chunk,Chunks Retrieved,Generated Answer,Reference Answer,Generation Prompt Used,Encoding Used,Enable Thinking,correctness,correctness_reason,completeness_reference,completeness_reference_reason,faithfulness,faithfulness_reason,completeness_question,completeness_question_reason,Judge Model,Judge Prompt
microsoft/Phi-3-mini-128k-instruct,1,What is an official trip?,Original,,chunk_8,chunk_8; chunk_9; chunk_43; chunk_10; chunk_61; chunk_44; chunk_47; chunk_12; chunk_39; chunk_55,"An official trip is a journey undertaken to conduct official business outside the usual place of work, which has been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of the sentences are otherwise met. Official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable."," Official trips in the sense of this Act are journeys undertaken to conduct official business outside the usual place of work, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of sentences 1 and 2 are otherwise met. ",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, with only minor wording differences.",5,The response includes all key information present in the reference.,5,The response is entirely based on the provided context and does not introduce any new or contradictory information.,5,The response directly and fully answers the question of what constitutes an official trip.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,2,Could you please define what constitutes an “official trip”?,Paraphrased,Paraphrased from Ques_1 in Manual QA doc,chunk_8,chunk_8; chunk_43; chunk_9; chunk_10; chunk_47; chunk_61; chunk_44; chunk_12; chunk_39; chunk_55,"An ""official trip"" is a journey undertaken to conduct official business outside the usual place of work, which has been ordered or approved by the responsible superior. This can include trips from a temporary residence to the place of work, provided certain conditions are met. The trip should only be carried out if a less costly method of conducting the official business is not possible or reasonable."," Official trips in the sense of this Act are journeys undertaken to conduct official business outside the usual place of work, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The order or approval must be given in writing or electronically. Official trips also include journeys from a location serving as a temporary residence to the place of work, provided that the conditions of sentences 1 and 2 are otherwise met. ",Basic_RAG_Prompt,mpnet,False,4,"The response accurately conveys the core definition of an 'official trip' as presented in the reference, though it omits the exception regarding orders/approvals.",3,"The response misses the detail about written or electronic approval and the exception for certain officials/business, making it incomplete compared to the reference.",5,The response is entirely based on the provided context and does not introduce any new or contradictory information.,5,The response directly and fully answers the question by providing a clear definition of 'official trip'.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,3,Does the approval for official travel have to be submitted as a physical document?,Original,,chunk_8,chunk_8; chunk_9; chunk_10; chunk_43; chunk_61; chunk_42; chunk_52; chunk_44; chunk_11; chunk_49,"No, the approval for official travel does not have to be submitted as a physical document. The State Travel Expense Act (LRKG) §  Official Trips and Errands () states that the order or approval must be given in writing or electronically.",The order or approval must be given in writing or electronically.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately reflects the meaning of the reference, stating the approval can be in writing or electronically.",5,The response includes all key information from the reference.,5,The response is entirely based on information present in the context and does not introduce any external information.,5,"The response directly and fully answers the question, clarifying that a physical document is not required.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,4,Is a hard copy required for travel authorization?,Paraphrased,Paraphrased from Ques_2 in Manual QA doc,chunk_8,chunk_5; chunk_3; chunk_8; chunk_14; chunk_10; chunk_43; chunk_9; chunk_71; chunk_52; chunk_44,"No, a hard copy is not required for travel authorization. The context provided does not mention any requirement for a hard copy. The regulations are issued by the Ministry of Finance and the provisions apply to official trips abroad, but there is no specific mention of a hard copy requirement for travel authorization.",The order or approval must be given in writing or electronically.,Basic_RAG_Prompt,mpnet,False,4,"The response accurately reflects the reference's statement about written or electronic approval, even though it's a negative framing regarding a 'hard copy'.",2,"The reference is very short and the response goes beyond it, inferring a lack of hard copy requirement which isn't directly stated.",5,"The response correctly states what the context *doesn't* say, and doesn't introduce any information not found within the provided text.",5,"The response directly and fully answers the question, providing a clear 'no' and justification.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,5,"If there is a less expensive method for me to do my job, my official trip can get cancelled?",Original,,Chunk_8,chunk_8; chunk_9; chunk_61; chunk_18; chunk_54; chunk_36; chunk_10; chunk_81; chunk_43; chunk_49,"Yes, according to the State Travel Expense Act (LRKG) §  Official Trips and Errands, an official trip should only be carried out if a less costly method of conducting the official business is not possible or reasonable. This implies that if there is a less expensive method available, the official trip may be reconsidered or cancelled to manage public funds economically.",Official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the meaning of the reference, stating the condition for official trips.",5,The response includes all key information from the reference.,5,The response is directly supported by the context and does not introduce any new information.,5,"The response directly and fully answers the question, addressing the possibility of trip cancellation due to less expensive alternatives.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,6,Could an approved work trip be rescinded if a cheaper way to complete the necessary tasks becomes available?,Paraphrased,Paraphrased from Ques_3 in Manual QA doc,Chunk_8,chunk_8; chunk_34; chunk_39; chunk_61; chunk_16; chunk_40; chunk_3; chunk_9; chunk_54; chunk_36,"No, an approved work trip cannot be rescinded simply because a cheaper way to complete the necessary tasks becomes available. The regulation states that official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable. Therefore, if a cheaper method becomes available, it would be reasonable to opt for that method instead of proceeding with the approved work trip.",Official trips should only be carried out if a less costly method of conducting the official business is not possible or reasonable.,Basic_RAG_Prompt,mpnet,False,5,"The response accurately reflects the meaning of the reference, stating the core principle about cost-effectiveness.",5,The response includes all key information from the reference – the condition of a less costly method not being possible or reasonable.,5,The response is entirely based on the provided context and does not introduce any external information or contradictions.,5,"The response directly and fully answers the question, addressing the possibility of rescinding a trip based on cheaper alternatives.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,7,What is an official errand?,Original,,Chunk_9,chunk_9; chunk_8; chunk_10; chunk_61; chunk_43; chunk_44; chunk_26; chunk_33; chunk_42; chunk_15,"An official errand is a journey undertaken to conduct official business at a place of work or residence outside the official premises, which has been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The place of residence is deemed equivalent to a temporary residence."," Official errands are journeys undertaken to conduct official business at the place of work or residence outside the official premises, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The place of residence is deemed equivalent to a temporary residence. ",Basic_RAG_Prompt,mpnet,False,5,"The response is identical in meaning to the reference, with only minor wording differences.",5,The response includes all key information present in the reference.,5,The response is directly extracted from and consistent with the provided context; no information is added or contradicted.,5,The response directly and fully answers the question of what constitutes an official errand.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,8,"Could you explain what constitutes a legitimate, authorized task or duty?",Paraphrased,Paraphrased from Ques_4 in Manual QA doc,Chunk_9,chunk_9; chunk_61; chunk_8; chunk_82; chunk_59; chunk_84; chunk_56; chunk_68; chunk_72; chunk_77,"A legitimate, authorized task or duty, as per the State Travel Expense Act (LRKG) § Official Trips and Errands, is a journey undertaken to conduct official business outside the usual place of work, which has been ordered or approved by the responsible superior. This approval must be given in writing or electronically. The task or duty should only be carried out if a less costly method of conducting the official business is not possible or reasonable. The regulation also includes journeys from a location serving as a temporary residence to the place of work, provided that the conditions of the Act are otherwise met.","Official errands are journeys undertaken to conduct official business at the place of work or residence outside the official premises, which have been ordered or approved by the responsible superior, unless an order or approval is not applicable due to the nature of the official’s office or the nature of the official business. The place of residence is deemed equivalent to a temporary residence. ",Basic_RAG_Prompt,mpnet,False,4,"The response and reference convey largely the same meaning regarding authorized tasks/duties, though with slightly different phrasing and detail.",3,The response adds information about cost considerations and journeys from temporary residences that aren't explicitly in the reference.,5,The response is entirely based on and consistent with the provided context; no information is added that isn't present there.,5,"The response directly and thoroughly explains what constitutes a legitimate, authorized task or duty, as requested by the question.",default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,9,"As a judge, do I need an order or approval for my official trip?",Original,,Chunk_10,chunk_10; chunk_8; chunk_9; chunk_43; chunk_39; chunk_49; chunk_61; chunk_12; chunk_6; chunk_16,"Yes, as a judge, you need an order or approval for your official trip, unless an order or approval is not applicable due to the nature of your office or the nature of the official business. The order or approval must be given in writing or electronically.","For official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court to which they belong, no order or approval is required.",Basic_RAG_Prompt,mpnet,False,2,"The response contradicts the reference. The reference states no order is needed for judicial duties, while the response states one *is* needed unless an exception applies.",2,The response omits the key information that no order is needed for trips related to judicial duties or court meetings.,1,"The response directly contradicts the context, stating an order *is* generally needed when the context states it is *not* needed for judges carrying out judicial duties.",3,The response answers the question but provides a conditional answer that isn't fully supported by the context and is misleading.,default,prompt_v2
microsoft/Phi-3-mini-128k-instruct,10,Are judges required to obtain permission before traveling for official duties?,Paraphrased,Paraphrased from Ques_5 in Manual QA doc,Chunk_10,chunk_10; chunk_8; chunk_9; chunk_49; chunk_43; chunk_6; chunk_50; chunk_12; chunk_46; chunk_15,"No, judges are not required to obtain permission before traveling for official duties. According to the State Travel Expense Act (LRKG), official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court do not require an order or approval.","For official trips by a judge to carry out judicial duties or to participate in a meeting of the presidium or another comparable constitutional body of the court to which they belong, no order or approval is required.",Basic_RAG_Prompt,mpnet,False,5,"The response accurately conveys the same meaning as the reference, stating that judges do not need permission for official travel.",5,The response includes all key information from the reference – the lack of requirement for an order or approval for official trips.,5,The response is entirely based on and consistent with the information provided in the context; it doesn't add any external information.,5,The response directly and fully answers the question of whether judges require permission for official travel.,default,prompt_v2
